epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.282,1.80321,1.94205,1.04195,0.28374,0.1674,0.13378,0.07153,1.6405,1.56486,1.00649,0.0670611,0.000332716,0.000332716
2,467.753,1.68918,1.50247,1.00028,0.25294,0.21043,0.17518,0.09807,1.60671,1.33947,0.97185,0.0340545,0.000659455,0.000659455
3,1586.33,1.65104,1.41307,0.98941,0.25666,0.22751,0.18356,0.1017,1.59702,1.31981,0.96992,0.00104132,0.000979595,0.000979595
4,1782.9,1.62515,1.36477,0.98478,0.26869,0.22438,0.19289,0.10654,1.56746,1.26277,0.95791,0.0009703,0.0009703,0.0009703
5,1996.76,1.6133,1.32565,0.97853,0.27811,0.24114,0.21393,0.11942,1.51932,1.2449,0.94718,0.0009604,0.0009604,0.0009604
6,2211.88,1.60271,1.30705,0.97031,0.30878,0.24003,0.2183,0.12186,1.50787,1.20679,0.9575,0.0009505,0.0009505,0.0009505
7,2422.9,1.57659,1.27162,0.96623,0.32398,0.2647,0.23392,0.13001,1.47923,1.18268,0.94,0.0009406,0.0009406,0.0009406
8,2636.98,1.56064,1.24591,0.96158,0.32707,0.25585,0.22682,0.12754,1.5184,1.18201,0.95119,0.0009307,0.0009307,0.0009307
9,2850.35,1.54688,1.2305,0.95987,0.33969,0.26218,0.24612,0.13985,1.4539,1.15234,0.94088,0.0009208,0.0009208,0.0009208
10,3060.64,1.53819,1.21784,0.95849,0.3292,0.26993,0.2496,0.1404,1.45028,1.14412,0.94144,0.0009109,0.0009109,0.0009109
11,3271.41,1.52785,1.20459,0.95476,0.33093,0.28015,0.25209,0.14397,1.44248,1.12886,0.93688,0.000901,0.000901,0.000901
12,3480.34,1.52311,1.19599,0.95352,0.34836,0.26773,0.24987,0.13861,1.45825,1.13639,0.9368,0.0008911,0.0008911,0.0008911
13,3691.06,1.5138,1.18442,0.95064,0.35163,0.27761,0.26126,0.14822,1.42853,1.11077,0.93127,0.0008812,0.0008812,0.0008812
14,3903.91,1.50302,1.17065,0.94918,0.35934,0.27878,0.2619,0.14799,1.44655,1.09856,0.93297,0.0008713,0.0008713,0.0008713
15,4118.76,1.50065,1.1601,0.94525,0.33964,0.27407,0.25499,0.1432,1.47338,1.1141,0.93441,0.0008614,0.0008614,0.0008614
16,4330.56,1.49427,1.15555,0.94541,0.37553,0.28738,0.27453,0.15469,1.4134,1.09171,0.92603,0.0008515,0.0008515,0.0008515
17,4542.11,1.49309,1.15013,0.94674,0.36982,0.27544,0.26174,0.15096,1.42436,1.09509,0.92573,0.0008416,0.0008416,0.0008416
18,4823.76,1.4975,1.14677,0.94392,0.37028,0.28588,0.27073,0.15276,1.4108,1.09331,0.92617,0.0008317,0.0008317,0.0008317
19,5036.88,1.48032,1.13842,0.94251,0.35445,0.2863,0.26696,0.15146,1.42895,1.09224,0.92938,0.0008218,0.0008218,0.0008218
20,5248.05,1.47896,1.13228,0.94178,0.36736,0.28164,0.26907,0.15366,1.41078,1.0751,0.92503,0.0008119,0.0008119,0.0008119
21,5460.32,1.47763,1.12537,0.9415,0.37124,0.28991,0.27584,0.15767,1.40022,1.06116,0.92426,0.000802,0.000802,0.000802
22,5671.7,1.46772,1.11387,0.94049,0.37767,0.29531,0.28083,0.15873,1.39385,1.05946,0.92533,0.0007921,0.0007921,0.0007921
23,5885.14,1.46077,1.1148,0.94122,0.387,0.28925,0.27952,0.15973,1.39573,1.06197,0.9224,0.0007822,0.0007822,0.0007822
24,6097.17,1.46233,1.10977,0.93826,0.39336,0.29725,0.28347,0.16248,1.39589,1.06288,0.92223,0.0007723,0.0007723,0.0007723
